name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
CINTITAS TOSTEX CHEDDAR 125gr,cintitas-tostex-cheddar-125gr,Cintitas Tostex Cheddar 125Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CINTITAS PROVOLETA TOSTEX 125gr,cintitas-provoleta-tostex-125gr,Cintitas Provoleta Tostex 125Gr,1800,1170,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TOSTEX CHIPS COLORES 270G,tostex-chips-colores-270g,Tostex Chips Colores 270G,2800,1820,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TOSTEX CHIPS CHOCOLATE 270,tostex-chips-chocolate-270,Tostex Chips Chocolate 270,2700,1755,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GALLETITAS AVENA Y MIEL TOSTEX 270gr,galletitas-avena-y-miel-tostex-270gr,Galletitas Avena Y Miel Tostex 270Gr,2800,1820,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TOSTEX PICANTE 125gr,tostex-picante-125gr,Tostex Picante 125Gr,2000,1300,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
PEPAS MEMBRILLO GAONA 180gr,pepas-membrillo-gaona-180gr,Pepas Membrillo Gaona 180Gr,1100,715,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PEPAS BATATA GAUNA 300gr,pepas-batata-gauna-300gr,Pepas Batata Gauna 300Gr,1800,1170,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BIZCOCHITOS GAONA 180gr,bizcochitos-gaona-180gr,Bizcochitos Gaona 180Gr,1000,650,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BIZCOCHITOS DULCES GAONA 180gr 2x1,bizcochitos-dulces-gaona-180gr-2x1,Bizcochitos Dulces Gaona 180Gr 2X1,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CRUNCHIPS 132gr,crunchips-132gr,Crunchips 132Gr,1300,845,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CRUNCHIPS DARK 132gr,crunchips-dark-132gr,Crunchips Dark 132Gr,1300,845,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CRUNCHIPS COLORES 132gr,crunchips-colores-132gr,Crunchips Colores 132Gr,1300,845,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
AVENA Y COCO 160G,avena-y-coco-160g,Avena Y Coco 160G,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
AVENA CHIPS,avena-chips,Avena Chips,1500,975,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CACHAFAZ INTEGRAL PASAS DE UVA 225gr,cachafaz-integral-pasas-de-uva-225gr,Cachafaz Integral Pasas De Uva 225Gr,3700,2405,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
